gameID,gameGenre
1,Multiplayer
1,Funny
1,Battle Royal
1,Online Co-Op
2,Free to Play
2,Action
2,RPG
2,MMORPG
2,Anime
3,Racing
3,Action
3,Adventure
3,Driving
3,Multiplayer
4,Party Game
4,Party
4,Word Game
4,Board Game
5,Strategy
5,Real Time Tactics
5,World War II
5,Stealth
6,Free to Play
6,Looter Shooter
6,Multiplayer
6,FPS
7,Funny
7,Choose Your Own Adventure
7,Memes
7,2D
8,Action
8,Violent
8,Dinosaurs
8,Early Access
8,FPS
9,Adventure
9,Action
9,Multiplayer
9,Pirates
9,Co-op
10,Action
10,Indie
10,RPG
10,Metroidvania
10,Souls-like
11,VR
11,FPS
11,Story Rich
11,Shooter
11,Horror
11,Action
12,RPG
12,Adventure
12,Action
12,Action RPG
12,Loot
13,Free to Play
13,RPG
13,VR
14,RPG
14,CRPG
14,Sci-fi
14,Dystopian
15,Free to Play
15,Rhythm
15,Anime
15,Music
16,Indie
16,Co-op
16,RPG
16,Online Co-Op
16,Action
16,2D
17,CRPG
17,Exploration
17,Open World
17,Real-Time
17,2D
18,Indie
18,Simulation
18,Survival
18,Farming
19,Strategy
19,Space
19,RTS
19,Singleplayer
19,4X
19,Sci-fi
20,Action
20,Adventure
20,Indie
20,Rhythm
20,Shooter
21,Indie
22,Simulation
22,Casual
22,Adventure
22,Indie
23,Strategy
23,RTS
23,Tower Defense
23,Real Time Tactics
24,Sports
24,Massively Multiplayer
24,Competitive
24,Soccer
25,Adventure
25,Casual
25,Strategy
25,Arcade
25,Platformer
26,Strategy
26,Tower Defense
26,2D
26,Cartoony
26,Colorful
27,Indie
27,Point & Click
27,Adventure
27,Puzzle
27,Horror
28,Indie
28,2D Platformer
28,Singleplayer
28,Platformer
29,3D Fighter
29,FPS
29,Third-Person Shooter
29,PvE
30,Rhythm
30,Experimental
30,Music
30,Electronic Music
31,Casual
31,Horror
31,FPS
31,Investigation
31,Exploration
32,Casual
32,Precision Platformer
32,3D Platformer
32,3D
33,Adventure
33,Casual
33,Simulation
34,Co-op
34,Multiplayer
34,Action
34,Open World
34,RPG
35,Early Access
35,Horror
35,Multiplayer
35,Survival Horror
36,Early Access
36,Horror
36,Online Co-Op
36,Action
37,Action RPG
37,Open World
37,Exploration
37,FPS
38,Early Access
38,RPG
38,Dungeons & Dragons
38,CRPG
39,Dark Comedy
39,RPG
39,Open World
39,Post-Apocalyptic
40,Multiplayer
40,Survival
40,Horror
40,Online Co-Op
41,Base Building
41,Automation
41,Open World
41,Crafting
42,Sports
42,Soccer
42,Runner
42,PVP
42,Football
43,Indie
43,Dating Sim
43,Multiplayer
43,Comedy
43,Casual
44,Action
44,Cyberpunk
44,First-Person
44,Fast-Paced
45,Cyberpunk
45,Open World
45,RPG
45,Futuristic
46,Strategy
46,RPG
46,Simulation
46,Medieval
46,Historical
47,Destruction
47,Voxel
47,Physics
47,Sandbox
47,Heist
48,Horror
48,Survival Horror
48,Survival
48,Multiple Endings
49,Fight
49,Space
49,Multiplayer
49,Sci-fi
49,VR
49,Action
50,Action
50,FPS
50,Great Soundtrack
50,Gore
50,Demons
