gameID,gameTitle,gameDescription,price,discount,releaseDate,gameImage,
1,Fall Guys: Ultimate Knockout,Fall Guys is a massively multiplayer party game with up to 60 players online in a free-for-all struggle through round after round of escalating chaos until one victor remains!,18.5,0,2020-08-04,fguk.jpg,
2,Phantasy Star Online 2,"The long awaited Free-To-Play Online RPG Phantasy Star Online 2 has finally arrived! PSO2 features revolutionary gameplay features, such as endless adventures, Hybrid Custom Action, and unprecedented character customization. Become an ARKS Operative today! Adventure awaits!",0,0,2020-08-05,pso2.jpg,
3,Need for Speed? Heat,"Hustle by day and risk it all at night in Need for Speed? Heat Deluxe Edition, a white-knuckle street racer, where the lines of the law fade as the sun starts to set.",94.9,0,2019-11-08,nfsh.jpg,
4,The Jackbox Party Pack 7,"Five new games: the hit threequel Quiplash 3, the collaborative chaos of The Devils and the Details, the fierce drawing game Champ?d Up, the speech game Talking Points and the guessing game Blather 'Round. Use phones or tablets as controllers and play with up to 8 players, and an audience of 10,000!",26,0,2020-10-15,tjpp7.jpg,
5,Partisans 1941,"Partisans 1941 is a real-time tactics game with stealth elements, set on the eastern front of WW II. As an army commander behind enemy lines you gather a group of Partisans to wage guerilla warfare against the German occupants.",26,0,2020-10-14,p1941.jpg,
6,Destiny 2,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.",0,0,2019-10-01,d2.jpg,
7,The Henry Stickmin Collection,A choose-your-own-path where failing is more fun than succeeding.,14.5,0,2020-08-07,thsc.jpg,
8,Second Extinction?,"Big map. Big dinosaurs. Big guns. With friends or solo, you face an ever changing threat level. Second Extinction is an online FPS with bite.",22,0,2020-10-13,se.jpg,
9,Sea of Thieves,"Sea of Thieves offers the essential pirate experience, from sailing and fighting to exploring and looting ? everything you need to live the pirate life and become a legend in your own right. With no set roles, you have complete freedom to approach the world, and other players, however you choose.",49.5,0,2020-06-03,sot.jpg,
10,Vigil: The Longest Night,"Battle through the longest night as Leila a member of the Vigilant Order and uncover the truth behind the eternal darkness, Leila's mysterious sister, and the eldritch horrors that stalk her in a world that has forgotten daylight.",20.5,0,2020-10-15,vtln.jpg,
11,Half-Life: Alyx,"Half-Life: Alyx is Valve?s VR return to the Half-Life series. It?s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity?s only chance for survival.",49,0,2020-03-24,hla.jpg,
12,Torchlight III,"In Torchlight III, Novastraia is again under threat of invasion and it?s up to you to defend against the Netherim and its allies. Gather your wits and brave the frontier to find fame, glory, and new adventures!",34,0,2020-10-13,tiii.jpg,
13,The Mind Hero,"A free, unique comic/anime-style visual novel containing both action and dating elements, The Mind Hero weaves in actual psychology which you can apply to your own life as well.",10,0,2020-12-01,tmh.jpg,
14,Paranoia: Happiness is Mandatory,"Lead a team of four Troubleshooters of dubious loyalty, who (mostly) obey orders from Friend Computer, a paranoid and irrational artificial intelligence. Inspired by the classic games of the CRPG genre, experience the first official adaptation of the cult role-playing game!",25,0,2020-12-02,phis.jpg,
15,Project: Bits,Project: Bits (Pronounced Beats) is a complimentary music and rhythm game. It's primary goal functions as a distribution platform for various songs and steps. Listen to the music. Feel the groove. Hit the arrows.,25,0,2020-12-03,pb.jpg,
16,Alien Hominid Invasion,"Alien Hominid Invasion is a co-op run �n� gun game packed with chaos, mayhem, and a whole lot of explosions. Beam down to invade randomly-assembled neighborhoods and face the unending swarm of enemy Agents!",39,0,2020-12-04,ahi.jpg,
17,Light of the Locked World,"Light of the Locked World is a role-playing game in which a portal malfunction takes you to the world of Kayos. Unable to return home, you have to start a new life and face challenges that will redefine you.",19.5,0,2020-12-05,lotlw.jpg,
18,Orcish Inn,"Orcish Inn is a farming, survival and tavern simulation game in which you raise crops, brew beer and build a tavern for your orcish guests!",5,0,2020-12-06,oi.jpg,
19,Age of Space,Evolve from being a nobody to being the center of power! Age of space combines real time resource management with tactical combat. Work as a mercenary for clients in our solar system as you gradually get dragged into a liberation war between the Martians and the UEA. Who will you side with?,4.9,0,2020-12-07,aos.jpg,
20,Mariachi Undead,"Mariachi Undead is a hand drawn, rhythm, cover based shoot-em-up, action side scrolling platformer where you can even play with a guitar and controller at the same time.",9.9,0,2020-12-08,mu.jpg,
21,Monsty Corp,"A sci-fi story-based puzzle game, Monsty Corp will have you exploring the facility known as ""Monsty Corp"" after you wake up with no idea where you are or why you're there.",10,0,2020-12-09,mc.jpg,
22,Soda Story - Brewing Tycoon,"Soda Story - Brewing Tycoon is a Casual / Management game that lets you brew and sell your own soda as part of a Reality TV show called ""Prisoneers"".",19.9,0,2020-12-10,ssbt.jpg,
23,Sphere Invasion,Sphere Invasion is Sci-Fi Tower Defence. Build your own road and defend it with 7 unique towers.,6.5,0,2020-10-30,si.jpg,
24,World of Soccer RELOADED,"Unlike other similar soccer games, the user controls a single player instead of an entire team! World of Soccer RELOADED combines individuality and team play!",0,0,2020-10-28,wosr.jpg,
25,The mouse and the cheese,An arcade-style strategy / maze game!! Collect all the cheeses to pass the level !!,2.1,0,2020-10-17,tmatc.jpg,
26,Slime Pandemic TD,Defend the galaxy against a slimey pandemic in this classic Tower Defence game.,4.2,0,2020-10-08,spt.jpg,
27,Almost My Floor: Prologue,"A Prologue to Almost My Floor, an upcoming horror-themed point'n'click adventure. Alex is a real fan of creepy stuff and horror movies, but he never expected to experience it himself just by taking the elevator back home! Can he avoid the madness and deal with the evil he's up against?",0,0,2020-10-05,amfp.jpg,
28,Square vs Triangles,Square vs Triangles is a old school 2D platformer with a minimalistic and beautiful art style and challenging gameplay mechanics inspired by 90's classics.,10,0,2020-10-21,svt.jpg,
29,The Unreal Story,"Welcome to The Unreal Story. There's game mode like Campaign, Multiplayer Beta, and Outbreak. We might add more game modes in the future if you guys want more.",14.5,0,2020-10-16,tus.jpg,
30,Hexagroove: Tactical DJ,A truly creative musical strategy game. Follow 6 rules of music making to clear the stage. Perform DJ tricks to maximize your score. Combine music from 13 dance genres in 7 clubs. Customize your play with 600 instrumental loops. Free demo available.,23.4,10,2019-10-03,htd.jpg,
31,Harthorn,"It's winter break 1994 and schools out at Harthorn High School, but not all is silent in its empty classrooms and dark hallways...",3.8,0,2020-10-28,h.jpg,
32,MEGAJUMP,Only some will reach the top. Will you be one of them? in this precision 3D platformer where every jump is a risk and easy to learn-hard to master controls you will certainly feel rewarded once you start climbing from the Pit of Despair. Just don't fall.,3.2,0,2020-10-19,m.jpg,
33,Kirakira stars idol project Reika,"The E-mote Engine brings character portraits to life with life-like, natural animations. Enjoy the story in English, Japanese, or Chinese (Simplified), with full voice acting from the main characters in the Japanese version.",9.7,25,2020-10-29,ksipr.jpg,
34,Monster Hunter: World,"Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.",1.6,25,2018-08-10,mhw.jpg,
35,In Silence,"In Silence is a multiplayer horror game. One player takes on the role of the monster who has hypersensitive hearing abilities and is almost completely blind. The other players(2-6) play as survivors, trying to escape or hunting the monster.",10,0,2020-10-17,is.jpg,
36,GTFO,"GTFO is a hardcore 4 player cooperative first-person shooter, with a focus on team play and atmosphere. It features edge-of-your-seat suspense, team-based puzzle-solving and high-intensity combat.",49.5,20,2019-12-10,g.jpg,
37,The Outer Worlds,"The Outer Worlds is an award-winning single-player RPG from Obsidian Entertainment and Private Division. As you explore a space colony, the character you decide to become will determine how this player-driven story unfolds. In the colony's corporate equation, you are the unplanned variable.",40.9,50,2020-10-23,tow.jpg,
38,Baldur's Gate 3,"Gather your party, and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival, and the lure of absolute power.",69,0,2020-10-07,bg3.jpg,
39,Fallout 76,"Experience One Wasteland with rebalanced creatures and loot for your level, so anyone can explore Appalachia together. Rank up and claim rewards with the Armor Ace S.C.O.R.E.board, play repeatable Daily Ops missions, and unlock powerful Legendary Perks at Level 50+ !",54,0,2020-04-14,f76.jpg,
